username,book_rating,user_age,book_genre,quote_or_review_text,favorite_authors_or_psychologists
mitchellandrew,1,52,Psychology,Care report single share difference worry pass.,J.K. Rowling
loriarmstrong,5,70,Fiction,Street hold along material Congress purpose.,Gabrielle Bernstein
randyhouston,4,63,Psychology,Would need side shake population his political.,Eckhart Tolle
debra10,3,63,Fiction,Main cell eat out a today.,Neil Gaiman
randywolf,2,53,Fiction,Either west result card along gas.,Sigmund Freud
fsmith,4,63,Psychology,Serve form check return senior particularly.,Dan Harris
sanchezmelinda,1,67,Psychology,Card visit camera against.,George Orwell
jason95,4,56,Psychology,Natural option house then.,Tony Robbins
candice12,3,54,Self-Help,Nor partner deal these which official.,Gabrielle Bernstein
cameronyoung,5,66,Psychology,Anyone cost wonder power student.,Gabrielle Bernstein
martinezjulie,2,36,Non-Fiction,Focus seven job open.,Sigmund Freud
vkelly,5,69,Psychology,Modern draw society benefit agreement team already.,George Orwell
mirandaangela,5,30,Fiction,At speech heavy activity recent professor.,Gabrielle Bernstein
michaeljohnson,2,63,Psychology,Society stock so his guy.,George Orwell
sgould,1,64,Psychology,New agreement industry medical us music run.,Sigmund Freud
cunninghamalbert,3,45,Non-Fiction,Occur which article without yet ask.,Jordan Peterson
sarahgentry,5,27,Fiction,To road street blue address laugh adult.,Eckhart Tolle
melanie05,3,51,Self-Help,Decision travel realize second.,Eckhart Tolle
cindy49,5,60,Non-Fiction,Soon west yard however open throw letter.,Jordan Peterson
morenodaniel,4,64,Non-Fiction,Machine few player race final.,J.K. Rowling
jsmith,4,37,Self-Help,Old color out his soon who.,Gabrielle Bernstein
lauren57,1,51,Psychology,Fire read discuss some space.,Tony Robbins
duranmichelle,5,42,Psychology,Baby her color medical drop either side.,Neil Gaiman
vincentcampbell,3,33,Non-Fiction,Once grow itself open each say high.,Sigmund Freud
stephaniecampbell,4,66,Non-Fiction,Else become in evidence understand citizen sure.,George Orwell
ydavis,3,56,Psychology,Prevent mind station develop east happy.,J.K. Rowling
matthewssusan,1,58,Self-Help,Safe half history claim suddenly show past.,J.K. Rowling
sabrinabailey,2,31,Non-Fiction,Stock service special writer possible hard former.,Neil Gaiman
elewis,5,28,Self-Help,Write over wide natural whose.,Sigmund Freud
gkennedy,4,43,Fiction,Garden necessary brother baby road above.,Brené Brown
davismegan,1,44,Self-Help,Type room range me most beyond happy.,Dan Harris
wcruz,4,38,Non-Fiction,Ready experience happy large claim accept.,J.K. Rowling
nsantiago,5,39,Psychology,East rather practice ask.,Tony Robbins
evelyn69,3,48,Self-Help,Which point discover staff.,Tony Robbins
courtney28,1,67,Self-Help,How next mission.,Eckhart Tolle
